MicroRNA-29c	NN	MicroRNA-29c O TermTag
regulates	VBZ	regulate O TermTag
apoptosis	NN	apoptosis O TermTag
sensitivity	NN	sensitivity O TermTag
via	IN	via O TermTag
modulation	NN	modulation O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
cell-surface	JJ	cell-surface O TermTag
death	NN	death O TermTag
receptor	NN	receptor O TermTag
,	,	, , NUPOS
Fas	NN	fas O TermTag
,	,	, , NUPOS
in	IN	in O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

UNASSIGNED	NNP	UNASSIGNED O TermTag
:	:	: : NUPOS
MicroRNAs	NNS	microrna O TermTag
play	VBP	play O TermTag
an	DT	a O TermTag
important	JJ	important O TermTag
role	NN	role O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
development	NN	development O TermTag
and	CC	and O TermTag
progression	NN	progression O TermTag
of	IN	of O TermTag
various	JJ	various O TermTag
diseases	NNS	disease O TermTag
,	,	, , NUPOS
such	JJ	such O TermTag
as	IN	as O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Although	IN	although O TermTag
the	DT	the O TermTag
accumulation	NN	accumulation O TermTag
of	IN	of O TermTag
aberrant	JJ	aberrant O TermTag
fibroblasts	NNS	fibroblast O TermTag
resistant	JJ	resistant O TermTag
to	TO	to O TermTag
apoptosis	NN	apoptosis O TermTag
is	VBZ	be O TermTag
a	DT	a dt NUPOS
hallmark	NN	hallmark O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
lungs	NNS	lung O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
mechanism	NN	mechanism O TermTag
regulating	VBG	regulate O TermTag
apoptosis	NN	apoptosis O TermTag
susceptibility	NN	susceptibility O TermTag
